Avg_Dist_Metro_KM,Avg_Ridership,Avg_Percent_Public_Transit,Avg_Percent_Vacant_Houses,Avg_Percent_Below_Poverty,Avg_Median_Home_Value,AssaultRate,HomicideRate,RobberyRate,RapeRate
0.7760103924,7256,0.3787555348,0.1755768714,0.2131786678,2.5296607143,0.0457983193,0.1238095238,0.0369249395,0.045751634
0.1759259702,9099,0.2570505216,0.248093361,0.0058142785,4.5020967742,0.0016806723,0,0.0021186441,0
0.8995674503,3200,0.4154017111,0.1760621232,0.1216883022,2.4678697395,0.0869747899,0.0952380952,0.0638619855,0.0653594771
1.0059597273,6673,0.3743633412,0.1212570185,0.0547105546,3.6056052083,0.0142857143,0,0.0199757869,0.0326797386
0.3732473478,8287,0.3963142336,0.1332923835,0,7.2264,0.0004201681,0,0.0021186441,0.0032679739
1.1232599044,4514,0.3877028454,0.083347846,0.0026041697,6.97877,0.0037815126,0,0.0030266344,0.0065359477
0.5312998427,12755,0.4699264201,0.1135991057,0.0431497216,4.8769301967,0.043697479,0.0571428571,0.0623486683,0.0424836601
1.6163915385,2732,0.4366411673,0.1806836628,0.1778640736,2.5510847741,0.1273109244,0.1142857143,0.0877723971,0.1078431373
0.8342908829,1664,0.3831727591,0.1548221638,0.1445800331,2.6966222467,0.0445378151,0.0666666667,0.0320823245,0.0424836601
0.5119817235,20889,0.3505987274,0.0867828575,0.0067259449,5.4169833749,0.0163865546,0.0095238095,0.0196731235,0.0326797386
0.6250322308,6261,0.3323664807,0.0907977539,0.0047257155,6.6693211169,0.006302521,0.0095238095,0.0178571429,0.0196078431
0.3003003041,25398,0.3459272227,0.1033514713,0.0052101506,5.101672549,0.0067226891,0,0.0030266344,0.0130718954
0.286704455,23147,0.3110477428,0.0911445158,0,5.1894366197,0.0025210084,0,0.0012106538,0.0065359477
0.3160222492,5399,0.3744473727,0.1214517658,0.0098452883,4.1164666667,0.0004201681,0,0.0003026634,0
0.2567702013,8498,0.190672154,0.292654028,0,4.363,0,0,0.0003026634,0.0032679739
0.6125298152,22053,0.2732607019,0.188908252,0.005721879,7.1165906389,0.0058823529,0,0.0093825666,0.0163398693
0.9547740378,7976,0.3707195159,0.1056528486,0.0491810419,3.4633160377,0.0289915966,0,0.0266343826,0.0196078431
0.9210089913,9620,0.3179748626,0.0898871206,0.0179495591,8.6702872786,0.0008403361,0,0.0051452785,0.0032679739
0.215381749,25780,0.2501892838,0.2445912208,0.0067792835,4.4815483384,0.0079831933,0,0.0102905569,0.0065359477
0.9559042416,6408,0.4284831101,0.0941898581,0.0496832157,4.5318952856,0.0521008403,0.0666666667,0.0708232446,0.0653594771
0.4221761714,8960,0.3111020877,0.1169413368,0.0278128414,4.4802509653,0.0067226891,0.0095238095,0.007566586,0.0163398693
0.3753590626,20222,0.3991083565,0.1715275212,0.014427118,2.5842278481,0.0021008403,0,0.0003026634,0.0032679739
0.4395167165,16212,0.2242972116,0.1098926448,0.0079975568,4.2875734266,0.0109243697,0,0.0087772397,0.0163398693
0.2330213118,27883,0.2027286254,0.2626336166,0,4.2196052632,0.0016806723,0,0.0051452785,0.0032679739
1.0538214921,3005,0.4494027514,0.1342301727,0.1167781237,2.4662273152,0.0621848739,0.0380952381,0.0690072639,0.0359477124
0.3964778772,4541,0.3359907877,0.1035600028,0.0443080249,5.3341217391,0.012605042,0,0.0184624697,0.0163398693
0.365950079,10514,0.3783799445,0.1847291553,0.0439979582,4.0435448029,0.0054621849,0,0.0045399516,0
0.8103957475,8412,0.3832278119,0.1290121499,0.0645415026,4.1079063409,0.0306722689,0.0476190476,0.0535714286,0.0522875817
0.8224960901,3834,0.419607785,0.0984758149,0.0681950214,4.4194659207,0.0256302521,0.019047619,0.0230024213,0.0261437908
1.0226568114,6070,0.3490041074,0.1721255287,0.1073514761,3.0609836463,0.0521008403,0.0666666667,0.0562953995,0.0555555556
0.493519486,5044,0.3578343051,0.1257387385,0.0586073709,5.4680776173,0.0226890756,0.019047619,0.0305690073,0.0294117647
0.472919866,10911,0.452554745,0.19150641,0.024777007,1.075,0,0,0.0006053269,0
1.3947784456,3022,0.3888091661,0.1672895254,0.0768865731,3.3190563041,0.0890756303,0.0666666667,0.0641646489,0.0588235294
1.2472201522,5813,0.3562462789,0.0804947722,0.0761251125,4.3983527349,0.0243697479,0.019047619,0.0266343826,0.022875817
0.9876386499,6736,0.3454966348,0.0394860848,0.0069353547,7.9456934385,0.0029411765,0,0.0069612591,0.0065359477
0.4785473066,7968,0.3346517271,0.1116279481,0.0177671411,6.0356327986,0.018907563,0.0095238095,0.0308716707,0.0261437908
0.494917284,32465,0.3638695903,0.0796647177,0.0406997197,5.1639864636,0.0067226891,0.0095238095,0.0108958838,0.0163398693
0.9719782549,6505,0.4246403464,0.0654815646,0.0059400435,6.9941227246,0.0021008403,0,0.0024213075,0.0065359477
0.3712063245,4024,0.4464416724,0.1541282722,0.0557886281,2.6709710611,0.0100840336,0.0095238095,0.0084745763,0.0032679739
0.8584427919,7240,0.3967889447,0.1024174273,0.0098816931,6.9562540496,0.0054621849,0,0.0078692494,0.0065359477
